round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,learning_rate,losses,lr_reduce_rate
236,0.0023643330205231905,0.03676281496882439,0.489533007144928,0.001850621975213704,0.032713804,0.49213746,6.25e-05,elu,64,0.0,100,100,50,0.01,mean_squared_error,0.5
153,0.002775440225377679,0.0394638329744339,0.45483866333961487,0.0019048148017368365,0.033076584,0.4703955,1.0000001e-09,relu,128,0.1,300,50,400,0.0001,mean_squared_error,0.01
180,0.002938002347946167,0.03993020951747894,0.47452226281166077,0.0021944935262443828,0.03499812,0.45722625,1.0000001e-07,relu,64,0.0,50,200,400,0.01,mean_squared_error,0.1
213,0.0022140515502542257,0.035512059926986694,0.4951767921447754,0.0017917403792609816,0.032149613,0.468432,8.1e-06,elu,128,0.0,400,50,50,0.0001,mean_squared_error,0.3
186,0.0031013779807835817,0.04314323514699936,0.4603174030780792,0.004182584132617526,0.050593022,0.4446547,1e-12,elu,128,0.2,50,200,100,0.1,mean_squared_error,0.001
200,0.0024255223106592894,0.03698352351784706,0.49201273918151855,0.0018633998020910938,0.032842822,0.46830928,1e-15,elu,128,0.0,200,100,100,0.01,mean_squared_error,0.001
136,0.00330265399068594,0.04374900832772255,0.46528369188308716,0.0033681690443995802,0.046052564,0.48463234,1e-09,relu,32,0.3,400,50,100,0.1,mean_squared_error,0.001
176,0.0021511975210160017,0.03471429646015167,0.4847511649131775,0.0015369279611905527,0.030083882,0.47402257,1e-09,relu,128,0.1,200,300,300,0.001,mean_squared_error,0.001
155,0.002242092015221715,0.036308035254478455,0.4870169162750244,0.001846727036937391,0.03268441,0.48131007,2.43e-06,elu,32,0.0,300,400,50,0.0001,mean_squared_error,0.3
134,0.002412443216890097,0.0377303846180439,0.46830594539642334,0.002009704009783278,0.034577925,0.47056985,1e-09,relu,16,0.3,100,50,300,0.001,mean_squared_error,0.001
149,0.0026907553151249886,0.039118118584156036,0.4563019871711731,0.0024968849942046643,0.038283236,0.4925258,1.0000001e-11,relu,32,0.3,100,400,300,0.0001,mean_squared_error,0.01
