round_epochs,val_loss,val_mse,val_mae,loss,mse,mae,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,learning_rate,losses,lr_reduce_rate
215,0.0012133779366397196,0.0012133779237046838,0.024739902466535568,0.00047103198981558107,0.00047103196,0.015741566,1.0000001e-09,relu,16,0.0,200,50,300,0.1,mean_squared_error,0.1
405,0.0019018270540982485,0.0019018271705135703,0.03316793590784073,0.0013897702137060533,0.0013897702,0.028104449,3.051758e-08,elu,64,0.0,300,100,400,0.001,mean_squared_error,0.5
250,0.0034267986193299294,0.0034267986193299294,0.04389779269695282,0.002858483920169768,0.0028584837,0.040619075,1.0000001e-24,relu,128,0.0,200,100,200,0.01,mean_squared_error,0.001
263,0.002431336169441541,0.0024313360918313265,0.03758920729160309,0.0018433607081850742,0.0018433607,0.032465886,6.561e-08,elu,64,0.0,50,50,300,0.01,mean_squared_error,0.3
442,0.002782789058983326,0.002782789058983326,0.03973062336444855,0.0023805886068935522,0.0023805888,0.03655103,1.2914017e-12,elu,128,0.0,50,300,400,0.1,mean_squared_error,0.3
250,0.001958039459875888,0.001958039589226246,0.033269915729761124,0.0013494031733000576,0.001349403,0.027964627,1.0000001e-10,elu,32,0.0,100,100,100,0.01,mean_squared_error,0.1
274,0.0014497703976101345,0.0014497704105451703,0.02804754115641117,0.0009193282060882198,0.0009193282,0.022141773,1.0000001e-10,relu,64,0.0,200,200,400,0.01,mean_squared_error,0.1
293,0.002066858268032471,0.002066858345642686,0.03434149920940399,0.0015468057043737272,0.0015468056,0.029824002,1.9683e-08,elu,64,0.0,300,50,300,0.0001,mean_squared_error,0.3
237,0.0016214409455036123,0.0016214408678933978,0.02953542023897171,0.0006647152804248789,0.00066471525,0.019185381,1.0000001e-24,relu,16,0.0,50,200,300,0.01,mean_squared_error,0.001
276,0.0015988274891343382,0.0015988275408744812,0.0303739532828331,0.0011202028656604691,0.001120203,0.025264336,1.0000001e-24,relu,64,0.0,300,400,200,0.0001,mean_squared_error,0.001
302,0.0031204628758132458,0.0031204628758132458,0.04123185575008392,0.002546017250043233,0.0025460173,0.037890982,1.0000001e-13,relu,128,0.0,200,300,100,0.0001,mean_squared_error,0.1
