round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
193,0.001388749573379755,0.029554858803749084,0.47097840905189514,0.0004209601629514015,0.015274063,0.48838058,3.125e-05,128,0.0,400,100,100,mean_squared_error,0.5
109,0.005181693006306887,0.05883166193962097,0.4531515836715698,0.0036176344948117612,0.047246262,0.42842004,0.000125,64,0.3,50,200,300,mean_squared_error,0.5
191,0.0024031877983361483,0.03704546019434929,0.4802630841732025,0.0011328536151640764,0.025738684,0.47960263,1.0000001e-09,128,0.0,50,50,200,mean_squared_error,0.01
115,0.004737900346517563,0.056395143270492554,0.4776143729686737,0.00313371628080028,0.04421649,0.49383774,1e-12,32,0.2,50,100,300,mean_squared_error,0.001
170,0.0023945337161421776,0.03794895485043526,0.47746241092681885,0.0025728311932091924,0.039879702,0.42178982,3.125e-05,64,0.3,100,400,200,mean_squared_error,0.5
123,0.002624787762761116,0.04009975865483284,0.46805113554000854,0.0016435816889744923,0.031686675,0.46976325,0.00025,32,0.2,300,50,300,mean_squared_error,0.5
125,0.0016796412132680416,0.03254549577832222,0.5008032321929932,0.0007116412167034976,0.020666368,0.48483613,1.0000001e-07,32,0.0,200,100,50,mean_squared_error,0.01
126,0.002100486634299159,0.035681892186403275,0.5089922547340393,0.0009273775772970452,0.023023702,0.4491537,0.000125,32,0.0,50,50,200,mean_squared_error,0.5
269,0.0013801018707454205,0.02863178215920925,0.4945504665374756,0.00025500080372955656,0.011536518,0.46775246,1.953125e-06,32,0.0,300,100,300,mean_squared_error,0.5
167,0.0018597868038341403,0.033322788774967194,0.4817275106906891,0.0023776878445162406,0.038397018,0.42021868,8.1e-06,64,0.1,300,400,50,mean_squared_error,0.3
84,0.0032271649688482285,0.04471558704972267,0.4744645357131958,0.004296441643368162,0.05178511,0.4795524,1.0000001e-07,64,0.2,300,200,100,mean_squared_error,0.01
104,0.004327992908656597,0.05180387943983078,0.44329896569252014,0.0031150616036483268,0.043808427,0.4724782,9e-05,128,0.2,50,200,200,mean_squared_error,0.3
153,0.0014000791124999523,0.028889410197734833,0.49501654505729675,0.000594387434781809,0.018494438,0.47736531,1e-15,128,0.0,400,100,300,mean_squared_error,0.001
160,0.003564229002222419,0.0453314483165741,0.48414015769958496,0.0033684438571566196,0.04592853,0.48928908,1.0000001e-09,128,0.1,50,100,50,mean_squared_error,0.01
136,0.0018960070423781872,0.03541359677910805,0.48036259412765503,0.002541802906512152,0.039961964,0.50753015,1.0000001e-06,32,0.2,300,50,50,mean_squared_error,0.1
192,0.0018248578999191523,0.033390406519174576,0.4694214463233948,0.001159371767983355,0.026668355,0.4606335,3.125e-05,64,0.1,300,300,300,mean_squared_error,0.5
74,0.00413921196013689,0.05156576633453369,0.4489111602306366,0.004191037619025975,0.050785553,0.46360853,1.0000001e-07,64,0.3,400,100,400,mean_squared_error,0.01
161,0.0016439530299976468,0.03151019662618637,0.4836321473121643,0.00015166219745392918,0.008454183,0.48926428,1.5625e-05,16,0.0,400,300,300,mean_squared_error,0.5
188,0.0016641126759350299,0.031961504369974136,0.45364320278167725,0.0004245680352719086,0.01624061,0.46260357,3.125e-05,16,0.2,200,200,400,mean_squared_error,0.5
135,0.0026989905163645744,0.03973217308521271,0.47697362303733826,0.003006492809336508,0.042650983,0.5055429,8.1e-06,64,0.1,400,100,100,mean_squared_error,0.3
162,0.002870224379003048,0.042400509119033813,0.4926650822162628,0.0037412590529761363,0.047996007,0.49573162,2.43e-06,32,0.2,50,200,50,mean_squared_error,0.3
150,0.0019800833659246566,0.03463113680481911,0.4851345419883728,0.0010366371046060894,0.024955332,0.44546798,1.00000005e-13,32,0.0,400,100,300,mean_squared_error,0.01
161,0.0020721224136650562,0.03490684926509857,0.46766167879104614,0.0013198261387762354,0.028757365,0.476442,1.0000001e-06,128,0.2,300,300,300,mean_squared_error,0.1
130,0.002639570739120245,0.03943300247192383,0.47587350010871887,0.001618278238513737,0.030966807,0.47482842,1.0000001e-09,128,0.0,100,50,50,mean_squared_error,0.01
