round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,batch_size,dropout,epochs,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
155,0.0020900594536215067,0.0370018295943737,0.4237287640571594,0.001286770434394678,0.028115412,0.4761611,1.0000001e-07,128,0.1,1000,400,50,200,mean_squared_error,0.01
102,0.0020453855395317078,0.03583477810025215,0.45418843626976013,0.002256361525485039,0.03728366,0.44680172,1e-09,32,0.1,1000,400,400,50,mean_squared_error,0.001
158,0.0015669557033106685,0.03188534453511238,0.44147151708602905,0.0004270019561709849,0.015047597,0.47911948,6.25e-05,128,0.0,1000,300,300,100,mean_squared_error,0.5
111,0.00451830867677927,0.052688904106616974,0.3993054926395416,0.004283941331172242,0.051173065,0.41808677,1e-09,64,0.3,1000,300,50,400,mean_squared_error,0.001
114,0.001955883055925369,0.03552006185054779,0.43955206871032715,0.0020333791041709398,0.035764985,0.47462952,1.0000001e-07,32,0.3,1000,400,400,200,mean_squared_error,0.01
199,0.0019422263745218515,0.03492022678256035,0.4358406364917755,0.0019392205660494837,0.03459139,0.44488847,7.29e-07,32,0.2,1000,50,400,100,mean_squared_error,0.3
175,0.0019277441315352917,0.035663191229104996,0.4268907308578491,0.0015621767978273116,0.030749515,0.51526237,1.0000001e-08,64,0.1,1000,300,200,400,mean_squared_error,0.1
178,0.002493644831702113,0.039620403200387955,0.415540486574173,0.002401150008539082,0.038780868,0.4698545,1e-09,128,0.2,1000,100,50,100,mean_squared_error,0.001
143,0.001333926753140986,0.02930579148232937,0.5037389993667603,0.00042976296345033333,0.015765488,0.494296,1.00000005e-13,16,0.0,1000,300,100,300,mean_squared_error,0.01
229,0.0021772059611976148,0.03698065131902695,0.4371395707130432,0.0020358433676282055,0.03557944,0.493682,3.90625e-06,32,0.2,1000,200,50,100,mean_squared_error,0.5
138,0.0019702758733183144,0.03579438850283623,0.4505276679992676,0.0015966214671552612,0.031164803,0.44559172,1e-09,32,0.1,1000,200,200,100,mean_squared_error,0.001
195,0.0014453429402783513,0.030410023406147957,0.467734158039093,0.0010791178520474342,0.02588599,0.49159527,1.0000001e-09,32,0.1,1000,300,100,300,mean_squared_error,0.1
133,0.0028408657386898993,0.04164215177297592,0.3818401098251343,0.0013687774777010016,0.0288223,0.46073723,1e-09,16,0.2,1000,50,100,400,mean_squared_error,0.001
153,0.001371914162300527,0.02867804281413555,0.5085618495941162,0.00029786287758702657,0.0126572745,0.46358258,1.0000001e-07,16,0.0,1000,400,50,50,mean_squared_error,0.1
170,0.0028212666511535645,0.0421413816511631,0.40955623984336853,0.0016133146552899998,0.031774893,0.4641386,1.0000001e-06,128,0.3,1000,200,100,400,mean_squared_error,0.1
134,0.002235507359728217,0.03787427395582199,0.41156455874443054,0.0019495869708768111,0.034976717,0.4768569,1.0000001e-09,128,0.2,1000,300,100,200,mean_squared_error,0.01
153,0.002358511555939913,0.03745477274060249,0.45921289920806885,0.0005665646553794565,0.017809002,0.49311072,1.0000001e-06,32,0.0,1000,50,200,200,mean_squared_error,0.1
140,0.0026314939558506013,0.04053425416350365,0.4169920086860657,0.0020123236762869994,0.03564398,0.48965764,1e-09,16,0.2,1000,50,100,50,mean_squared_error,0.001
95,0.00300484225153923,0.04233214259147644,0.3821828365325928,0.002008675209729868,0.035247944,0.48377138,1e-09,16,0.3,1000,100,100,300,mean_squared_error,0.001
106,0.0056737705506384375,0.06065186485648155,0.3614662289619446,0.0023018560768468077,0.037119646,0.46208563,1.0000001e-07,32,0.2,1000,50,50,400,mean_squared_error,0.01
117,0.0034918084274977446,0.04673348367214203,0.4033897817134857,0.004358271334967462,0.05190589,0.515174,1.0000001e-11,64,0.3,1000,300,300,300,mean_squared_error,0.01
133,0.0017532657366245985,0.033258967101573944,0.41624361276626587,0.0015608015696296181,0.030888272,0.47137463,1.0000001e-05,128,0.2,1000,400,200,200,mean_squared_error,0.1
122,0.0017402741126716138,0.03392886742949486,0.5041436553001404,0.000921112296476396,0.023676362,0.47566617,1.0000001e-06,16,0.2,1000,400,300,300,mean_squared_error,0.1
134,0.001554957590997219,0.03130758926272392,0.4373956322669983,0.0005045447211799715,0.016680121,0.4843621,2.7e-05,128,0.0,1000,300,400,50,mean_squared_error,0.3
126,0.002945107873529196,0.04138030856847763,0.4285713732242584,0.002855943728892759,0.04162316,0.49414426,1e-09,64,0.3,1000,200,400,400,mean_squared_error,0.001
146,0.0030586752109229565,0.04373529925942421,0.44741231203079224,0.0019324354637872618,0.033268616,0.5029808,1.0000001e-07,64,0.0,1000,50,300,200,mean_squared_error,0.1
178,0.003153992583975196,0.04133448004722595,0.42070111632347107,0.00252606700545795,0.039716,0.47475994,8.1e-06,128,0.2,1000,100,200,100,mean_squared_error,0.3
145,0.0028511969186365603,0.042407650500535965,0.39365077018737793,0.002658408976269923,0.040974453,0.48439905,1.0000001e-06,16,0.3,1000,50,50,100,mean_squared_error,0.1
138,0.0022851868998259306,0.037236619740724564,0.41008397936820984,0.0035721423614662315,0.047510974,0.47399718,1e-09,128,0.2,1000,400,100,50,mean_squared_error,0.001
229,0.002466249745339155,0.039232537150382996,0.4373956322669983,0.003976904269606538,0.050250135,0.5224469,7.8125e-06,64,0.2,1000,50,400,50,mean_squared_error,0.5
116,0.0025534152518957853,0.040891338139772415,0.42784374952316284,0.002391313182714837,0.03878669,0.492176,1e-09,64,0.2,1000,200,300,400,mean_squared_error,0.001
