date,尖峰負載(MW)_truth,尖峰負載(MW)_predict
2019-03-14,28417,28504.644608303905
2019-03-15,27757,27578.18324816227
2019-03-16,25318,25196.89293600321
2019-03-17,24681,24318.52133246958
2019-03-18,28338,28208.1889955461
2019-03-19,28882,28582.988653051852
2019-03-20,29645,29770.40306563973
2019-03-21,30343,29591.296669125557
2019-03-22,29618,28474.342657190562
2019-03-23,25265,25163.689940437675
2019-03-24,24812,23571.885473001
2019-03-25,28535,27172.002495488523
2019-03-26,28756,27900.215424495935
2019-03-27,29140,29802.207735371583
2019-03-28,30093,29726.075040727854
2019-03-29,29673,28797.233029302955
2019-03-30,25810,25763.71632758081
2019-03-31,24466,23985.346532192823
2019-04-01,27842,27586.593177458642
2019-04-02,28359,28316.896277981996
2019-04-03,28483,26865.79881217777
2019-04-04,25663,25761.469343185425
2019-04-05,24542,24326.544721841812
2019-04-06,24966,23473.535393595695
2019-04-07,25240,24656.895224803684
2019-04-08,30399,29275.655374476315
2019-04-09,31532,29767.490502667428
2019-04-10,31709,31202.723424553864
2019-04-11,30541,30959.184248179197
2019-04-12,29035,30174.861758488416
2019-04-13,26446,27103.348706793786
2019-04-14,25537,24569.92391299605
2019-04-15,28749,28261.543395510314
2019-04-16,29017,28888.589064586162
2019-04-17,29565,29627.911568772786
2019-04-18,30335,30096.128532767296
2019-04-19,30748,29512.15718153119
2019-04-20,26910,27366.413216274977
2019-04-21,26306,26759.067065751547
2019-04-22,31955,31512.51575140357
2019-04-23,33181,31923.56983458996
2019-04-24,33263,32879.38931996226
2019-04-25,33134,32706.11959564686
2019-04-26,32664,31787.76016718745
2019-04-27,27376,28038.248640954494
2019-04-28,26948,26929.344882351154
2019-04-29,32847,32044.283687359093
2019-04-30,33099,32507.887963342666
2019-05-01,26826,29345.91283988356
2019-05-02,28690,29280.330637425184
2019-05-03,28315,28447.80313191712
2019-05-04,25819,27518.01277680993
2019-05-05,25336,26272.33128691315
2019-05-06,28615,29369.986701762675
2019-05-07,28472,29288.447164046764
2019-05-08,28968,28881.809948256607
2019-05-09,29229,29384.258689016104
2019-05-10,29571,28475.688372960685
2019-05-11,26576,27037.977923738956
2019-05-12,26484,26658.756706422562
2019-05-13,32135,31060.764200049638
2019-05-14,33144,31464.582182204722
2019-05-15,32896,33557.58708614707
2019-05-16,33307,33352.773531109095
2019-05-17,32316,32590.08322919011
2019-05-18,29523,28897.499508309364
2019-05-19,28977,26807.8295615375
2019-05-20,32213,30920.68208773732
2019-05-21,29978,31134.269773828983
2019-05-22,30150,31238.811533981556
2019-05-23,30430,31297.732996970415
2019-05-24,31548,30548.248672533035
2019-05-25,27810,28066.465659093858
2019-05-26,27905,27291.932471418375
2019-05-27,32521,32190.801766788958
2019-05-28,32242,32524.486642765998
2019-05-29,30319,32438.198047065736
2019-05-30,32116,32703.61971768737
2019-05-31,32971,32408.304815900327
2019-06-01,28860,30032.026240611078
2019-06-02,28856,28850.29386556744
2019-06-03,32958,33899.33337047696
2019-06-04,32409,34192.78998452425
2019-06-05,33916,34648.88376989961
2019-06-06,34889,33482.90173667669
2019-06-07,30068,31870.039213413
2019-06-08,29548,28648.47461286187
2019-06-09,29408,28322.785056859248
2019-06-10,33355,33349.40588347912
2019-06-11,32126,33261.65877537728
2019-06-12,31095,33116.870849728584
2019-06-13,31680,32850.81924918294
2019-06-14,30877,32413.118032979964
2019-06-15,27686,29274.054819476605
2019-06-16,27673,27713.385414439435
2019-06-17,33703,33218.30661380887
2019-06-18,34739,33671.65968235731
2019-06-19,35601,35944.633533197644
2019-06-20,35959,35543.55150538683
2019-06-21,35928,35102.208678120376
2019-06-22,30923,30991.13132712245
2019-06-23,28305,28756.67799239754
2019-06-24,31688,33609.4698212862
2019-06-25,33290,33947.53468016386
2019-06-26,32816,34444.49266971946
2019-06-27,33465,34533.073980242014
2019-06-28,34963,34529.49358791709
2019-06-29,30553,32022.189301866292
2019-06-30,30083,30237.10466729402
2019-07-01,35215,35660.65801450014
2019-07-02,35052,35923.262723708154
2019-07-03,33953,35899.32495325208
2019-07-04,34157,35534.105150431395
2019-07-05,33853,35163.180630892515
2019-07-06,30014,31555.06607372761
2019-07-07,29965,29892.412223201984
2019-07-08,35166,35304.212809515
2019-07-09,34886,35605.65373032093
2019-07-10,35267,36110.00893486738
2019-07-11,34564,35858.67011579871
2019-07-12,35638,35736.7182082653
2019-07-13,31353,32478.885493582486
2019-07-14,30941,30641.463850277658
2019-07-15,36261,36281.42082338929
2019-07-16,36926,36561.19968419075
2019-07-17,37383,36960.95910308957
2019-07-18,35922,36072.23145443201
2019-07-19,35484,35279.11720135808
2019-07-20,30618,30799.900365054607
2019-07-21,29604,28942.943458938593
2019-07-22,34488,34240.657442170384
2019-07-23,35004,34583.84498015642
2019-07-24,35571,36032.19436163306
2019-07-25,35955,35648.04456117749
2019-07-26,36523,35461.75125015974
2019-07-27,31207,31831.2860591352
2019-07-28,29654,30119.692374700302
2019-07-29,35554,35687.62643370628
2019-07-30,36647,35995.7700350523
2019-07-31,36807,36429.58151008487
2019-08-01,36482,35832.48274940252
2019-08-02,35775,35371.87724795342
2019-08-03,31045,31487.202056860922
2019-08-04,31333,29869.813181579106
2019-08-05,36721,35392.694665557145
2019-08-06,36386,35692.47062743902
2019-08-07,36067,36629.49408115745
2019-08-08,36331,35983.335297733545
2019-08-09,30740,35536.77401731014
2019-08-10,31478,31781.3425947845
2019-08-11,31064,29834.522412037844
2019-08-12,34479,35198.405252802375
2019-08-13,33906,35488.24610795975
2019-08-14,36100,35312.78988477588
2019-08-15,34275,34799.38916581869
2019-08-16,34379,34202.85516870022
2019-08-17,30424,30300.13185245991
2019-08-18,28616,28177.20475799441
2019-08-19,32954,33149.46368564367
2019-08-20,33328,33470.96605374813
2019-08-21,33542,34710.60783433914
2019-08-22,34983,34567.38672572374
2019-08-23,35157,34482.96381382346
2019-08-24,28996,31208.539105170967
2019-08-25,28990,29695.33364503979
2019-08-26,35049,35144.43456952572
2019-08-27,35593,35447.77813388109
2019-08-28,36507,35873.01003301144
2019-08-29,36368,35259.58015012741
2019-08-30,34613,34535.78652366996
2019-08-31,30636,32226.328234666587
2019-09-01,29629,29470.92502073645
2019-09-02,35383,33162.711377042535
2019-09-03,35469,32024.565910100937
2019-09-04,33717,34746.09996433258
2019-09-05,33277,34419.27062559128
2019-09-06,34200,33996.855718523264
2019-09-07,30088,30600.17900335193
2019-09-08,29047,29127.86946974396
2019-09-09,34357,34389.80572278499
2019-09-10,34664,34666.30059822798
2019-09-11,35341,35638.67218816876
2019-09-12,35264,34245.684109807014
2019-09-13,29375,32493.421010279657
2019-09-14,28676,28617.86088526249
2019-09-15,28191,27986.024184989925
2019-09-16,33228,33418.96796553135
2019-09-17,32961,33377.18568509817
2019-09-18,32428,33214.538058435915
2019-09-19,31508,32589.537198871374
2019-09-20,30594,31610.841825819014
2019-09-21,26460,27858.911520037054
2019-09-22,25836,25212.784748023747
2019-09-23,29947,30291.08012843728
2019-09-24,30106,30998.161813771723
